#{"t_start": 1776127287.9596298, "env_id": "None"}
r,l,t
-11813.676409,1000,536.685031
-20452.998979,1000,544.429955
-20444.028727,1000,549.740619
-20492.147898,1000,557.265606
-20479.699869,1000,562.608603
-20460.418512,1000,567.773306
-20469.077065,1000,575.463417
-20461.066945,1000,580.72813
-8425.239687,1000,588.349524
-20469.952306,1000,593.618417
-20486.912623,1000,601.449025
-20472.565455,1000,606.592238
-20470.948125,1000,614.21906
-19174.436513,1000,619.37787
-6028.744437,1000,627.121929
-20454.617985,1000,633.992843
-6956.507554,1000,643.848998
-20470.599423,1000,649.617826
-20456.017816,1000,662.297388
-20445.985456,1000,670.147282
-20467.853393,1000,681.025448
-18965.147365,1000,687.410675
-20445.03176,1000,696.787347
-20448.306636,1000,703.304073
-20451.395598,1000,711.11128
-20452.687032,1000,716.280304
-20467.424913,1000,723.887261
-18134.842019,1000,729.163102
-20474.875337,1000,737.152493
-20462.628739,1000,742.544988
-6211.661651,1000,750.389519
-20477.369717,1000,755.558252
-17128.266787,1000,763.183094
-4761.546946,1000,768.620986
-20461.659704,1000,776.917078
-13370.471535,1000,782.206059
-20494.626807,1000,790.214923
-18763.937523,1000,795.61016
-20436.934894,1000,803.507525
-20430.763025,1000,808.753097
-7274.527465,1000,816.728382
-20481.574188,1000,822.015663
-20495.346902,1000,829.908959
-20485.529237,1000,835.255527
-20495.206751,1000,843.087198
-20455.678388,1000,848.165476
-13538.660484,1000,855.701921
-20464.754212,1000,860.825079
-20448.282565,1000,866.060792
-20490.309898,1000,873.66464
-14119.635074,1000,878.931564
-20502.325564,1000,886.434725
-20460.077012,1000,891.587779
-20499.950484,1000,899.130373
-20450.618771,1000,904.31604
-20492.652595,1000,911.71849
-20509.457657,1000,916.975871
-20487.370803,1000,924.414468
-20442.672288,1000,929.654932
-20504.802524,1000,937.304359
-15370.996159,1000,942.604816
-4078.682882,1000,950.117133
-20510.722506,1000,955.436076
-20488.448397,1000,962.889063
-20509.040753,1000,968.204514
-13206.646413,1000,975.722695
-12771.598316,1000,980.998898
-20491.357143,1000,988.544641
-20393.533139,1000,993.6705
-20411.654085,1000,1001.09332
-20512.25872,1000,1006.406068
-20509.229411,1000,1014.043496
-13736.202284,1000,1019.280872
-20489.975007,1000,1026.698789
-17118.380563,1000,1031.980284
-20494.284044,1000,1039.589384
-20493.327454,1000,1044.703318
-20512.902711,1000,1052.775856
-20500.623908,1000,1058.141546
-20488.618828,1000,1065.601727
-20471.284146,1000,1071.125844
-17064.344917,1000,1078.673893
-17491.754944,1000,1083.844907
-2103.836186,1000,1091.407233
-20486.588909,1000,1096.805432
-20482.193332,1000,1104.764012
-20489.506255,1000,1110.572135
-20407.228755,1000,1118.555447
-20488.54045,1000,1124.112863
-20456.99864,1000,1132.107408
-20407.234629,1000,1137.893081
-20424.585422,1000,1143.134566
-20441.612154,1000,1150.541655
-20438.382308,1000,1155.728895
-20485.634548,1000,1163.384668
-5151.627359,1000,1168.545751
-20484.864895,1000,1176.310927
-20474.801784,1000,1181.442217
-20450.283315,1000,1189.03867
-20495.710824,1000,1194.324476
-20488.705511,1000,1203.086792
-18829.001781,1000,1208.418396
-20490.663448,1000,1216.136377
-20483.559934,1000,1221.29911
-20476.948133,1000,1228.921101
-20484.5545,1000,1234.150498
-20463.233061,1000,1241.822761
-3238.392491,1000,1247.151871
-20492.407931,1000,1254.678698
-14273.465098,1000,1259.924792
-20465.146141,1000,1267.721419
-12464.496577,1000,1272.793468
-16064.531459,1000,1280.391857
-20451.012921,1000,1285.723438
-20473.991178,1000,1293.263241
-20473.621465,1000,1298.620185
-20435.46353,1000,1306.240941
-20470.495622,1000,1311.409753
-20466.516108,1000,1319.50451
-18387.081301,1000,1324.619358
